PlayerID,FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp,Year,Duplicate
gKVopf,Erik,Duenas,LAFC,D,"63547.00","65547.00",2020,6lym9PCx
gKVopf,Erik,Duenas,LAFC,D,"90444.00","92444.00",2021,BHq419LF
gKVopf,Erik,Duenas,LAFC,D,"100000.00","102000.00",2022,KW0m04Os
gKVopf,Erik,Duenas,LAFC,M,"125000.00","127000.00",2023,4XcMck03
gKVopf,Erik,Duenas,LAFC,M,"185500.00","187500.00",2024,laWZ6Wqm
gKVopf,Erik,Duenas,HOU,M,"150000.00","170625.00",2025 Sp,9lNx8tnd
TTVghi,Alec,Dufty,CHI,GK,"32600.04","32600.04",2011,tIYmzggt
K5eSuw,Morris,Duggan,MNUFC,D,"71401.00","71401.00",2024,djlm7FnV
K5eSuw,Morris,Duggan,MNUFC,D,"80622.00","80622.00",2025 Sp,UuUMg91l
h2Q8gK,Dilly,Duka,CLB,M,"80000.0","213000.0",2010,BuYyzLE8
h2Q8gK,Dilly,Duka,CLB,M,"90000.0","223000.0",2011,YljwumJh
h2Q8gK,Dilly,Duka,CLB,M,"110000.0","243000.0",2012,yHJ1bSc5
h2Q8gK,Dilly,Duka,CHI,M,"140000.0","273000.0",2013,0vAWX1bB
h2Q8gK,Dilly,Duka,MTL,M,"165000.0","190000.0",2014,eanTTps7
h2Q8gK,Dilly,Duka,MTL,M,"175000.0","200000.0",2015,W26rsZdZ
h2Q8gK,Dilly,Duka,CLB,M,"175000.0","175000.0",2017,w3laMGJM
ZrVySd,Bryce,Duke,LAFC,M,"81375.00","81375.00",2020,gUuHGb3W
ZrVySd,Bryce,Duke,LAFC,M,"90000.00","90000.00",2021,cyvRV7BA
ZrVySd,Bryce,Duke,MIA,M,"122000.00","122000.00",2022,8d1gCHSH
ZrVySd,Bryce,Duke,MTL,M,"150000.00","231875.00",2023,zRydl0CG
ZrVySd,Bryce,Duke,MTL,M,"325000.00","406875.00",2024,xB0j8QvG
ZrVySd,Bryce,Duke,MTL,M,"350000.00","431875.00",2025 Sp,gvE3Z01I
wUdjEW,Cameron,Duke,KC,M,"56250.00","69250.00",2019,uiPjPRaU
wUdjEW,Cameron,Duke,KC,M,"63547.00","66547.00",2020,N1KqzECg
wUdjEW,Cameron,Duke,KC,M,"81375.00","84375.00",2021,9LUbXxvE
wUdjEW,Cameron,Duke,KC,M,"90000.00","93000.00",2022,WVivTWmE
wUdjEW,Cameron,Duke,KC,M,"137500.00","140500.00",2023,Rcq9lOGS
VWS5Ki,Christian,Duke,KC,D,"35125.0","35125.0",2013,ZfrxPW8z
